,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
520,32,114,"['中信', 'LINEPay', '國泰', 'KOKO']",60000,0,700000,1,2
521,28,24,"['中信', 'LINEPay']",,1,900000,1,2
522,30,72,"['中信', 'LINEPay', '渣打', '現金回饋御璽卡']",,0,800000,1,2
523,,,"['中信', 'LINEPay']",,,,1,2
524,21,,"['中信', 'LINEPay']",,0,,0,1
525,32,72,"['中信', 'LINEPay']",,0,,1,2
526,24,24,"['中信', 'LINEPay']",,0,,1,2
527,35,96,"['中信', 'LINEPay']",,0,,1,2
528,21,12,"['中信', 'LINEPay']",,0,270000,0,1
529,32,120,[],,0,1000000,1,2
530,,,[],210000,0,400000,0,2
531,20,16,['LINEPay'],20000,0,200000,0,1
532,24,4,[],,0,400000,0,3
533,38,13,"['中信', 'LINEPay']",,0,600000,1,2
534,,72,"['中信', 'LINEPay']",310000,0,,0,3
535,32,11,"['中信', 'LINEPay']",25000,0,360000,1,2
536,23,13,"['中信', 'LINEPay']",80000,0,3100000,1,2
537,26,24,[],,1,300000,1,3
538,22,9,"['中信', 'LINEPay']",125000,0,500000,1,2
539,26,36,"['中信', 'LINEPay']",45000,0,230000,1,2
540,,0,"['中信', 'LINEPay']",20000,0,,0,2
541,,34,[],150000,,,1,2
542,24,6,"['中信', 'LINEPay']",205000,1,500000,0,2
543,26,15,"['中信', 'LINEPay']",160000,0,500000,1,2
544,27,9,[],,,600000,1,2
545,27,4,"['中信', 'LINEPay', '元大', '鑽金']",125000,0,470000,1,2
546,24,4,[],,1,600000,1,2
547,30,72,"['台新', 'GoGo']",150000,0,600000,0,3
548,20,12,"['中信', 'LINEPay', '花旗', '饗樂卡', '中信']",,0,100000,0,1
549,25,3,"['中信', 'LINEPay']",30000,0,400000,1,4
550,,7,"['中信', 'LINEPay']",,1,550000,0,2
551,22,36,[],,3,2000000,1,2
552,,0,[],60000,,450000,0,2
553,24,13,"['中信', 'LINEPay']",205000,0,600000,0,2
554,33,28,"['中信', 'LINEPay']",155000,1,540000,0,2
555,25,16,['LINEPay'],,0,400000,0,2
556,23,2,"['中信', 'LINEPay']",50000,0,320000,1,2
557,,,[],,,,0,2
558,33,132,[],200000,2,600000,1,4
559,33,3,"['中信', 'LINEPay']",,1,2000000,1,4
560,,108,['LINEPay'],245000,,570000,1,2
561,26,22,"['中信', 'LINEPay']",135000,0,550000,0,2
562,24,22,[],120000,1,450000,1,2
563,22,,"['中信', 'LINEPay', '台新', 'GoGo']",20000,0,120000,1,2
564,,36,[],170000,3,600000,0,2
565,26,6,[],,0,,1,2
566,23,13,[],,0,700000,1,2
567,21,12,"['國泰', 'KOKO']",20000,0,800000,0,1
568,24,48,"['中信', 'LINEPay']",80000,1,,1,2
569,,,[],,,,0,2
570,23,7,"['中信', 'LINEPay']",60000,3,300000,1,2
571,28,,"['中信', 'LINEPay']",,0,,1,2
572,40,156,"['中信', 'LINEPay', '玉山']",,0,1200000,1,2
573,,,[],,,300000,0,2
574,25,38,[],145000,0,340000,0,2
575,23,5,"['中信', 'LINEPay']",100000,0,300000,0,4
576,,48,"['中信', 'LINEPay']",,0,480000,1,2
577,,,[],,,,1,2
578,35,48,[],80000,,43000,0,2
579,26,24,[],,,600000,1,2
580,22,3,"['台新', 'GoGo']",,,,0,2
581,22,,[],,0,400000,1,1
582,29,84,[],,0,,1,2
583,37,3,"['中信', 'LINEPay']",400000,2,,1,2
584,23,28,"['中信', 'LINEPay']",120000,1,450000,1,2
585,25,0,[],,0,,1,2
586,,10,[],250000,0,,1,3
587,,,[],,,,0,2
588,,10,[],250000,0,,1,3
589,29,24,[],420000,0,,1,2
590,,20,"['中信', 'LINEPay']",25000,0,,0,1
591,33,,"['中信', 'LINEPay']",,,,1,2
592,23,,"['中信', 'LINEPay']",25000,0,,1,2
593,,36,"['中信', 'LINEPay', '簡單卡']",,0,300000,0,2
594,,,['LINEPay'],800000,,,0,2
595,26,48,[],,2,800000,0,4
596,,,"['台新', 'GoGo']",20000,0,,0,1
597,22,0,[],115000,1,400000,0,2
598,28,24,[],,0,800000,1,2
599,26,12,"['中信', 'LINEPay']",,0,300000,0,2
600,27,22,"['中信', 'LINEPay']",,0,800000,1,2
601,,,[],,,,1,2
602,31,36,[],180000,1,630000,1,2
603,23,6,[],,0,400000,0,2
604,,,[],,,,0,2
605,32,60,[],200000,0,,1,2
606,28,6,"['中信', 'LINEPay']",95000,0,,0,2
607,,,[],,,,0,2
608,26,24,"['中信', 'LINEPay']",230000,0,600000,1,2
609,29,16,"['中信', 'LINEPay']",,2,600000,1,2
610,26,9,"['中信', 'LINEPay']",,1,600000,1,3
611,24,6,"['中信', 'LINEPay']",250000,0,700000,0,2
612,28,24,"['中信', 'LINEPay']",,0,600000,1,2
613,22,15,"['中信', 'LINEPay']",,1,360000,1,2
614,27,10,"['中信', 'LINEPay']",140000,,500000,1,2
615,,60,"['中信', 'LINEPay']",,0,550000,0,2
616,,,[],800000,,,0,2
617,25,36,"['中信', 'LINEPay']",,0,390000,0,2
618,21,,"['中信', 'LINEPay']",20000,0,300000,0,1
619,,,[],,,,0,2
620,,120,[],,0,600000,1,2
621,21,1,[],,,480000,1,2
622,25,3,[],,0,600000,0,3
623,35,,[],,2,1200000,0,2
624,33,64,['中信'],,0,700000,1,2
625,,,[],,,,0,2
626,,,[],,,,1,2
627,30,16,"['中信', 'LINEPay', '聯邦', '法拉利無限卡']",270000,0,720000,1,3
628,,,"['中信', 'LINEPay']",450000,3,,0,2
629,25,12,[],,0,400000,1,2
630,30,24,[],230000,0,600000,1,2
631,,,['中信'],,,,0,2
632,21,36,['中信'],20000,0,450000,1,1
633,24,4,[],95000,1,320000,1,2
634,22,7,[],,3,400000,0,2
635,23,5,[],50000,0,350000,1,2
636,,84,['中信'],400000,0,2300000,0,2
637,,24,['中信'],,0,680000,1,2
638,22,48,[],20000,0,300000,1,2
639,26,1,['中信'],400000,2,,1,2
